Temp,Humidity,Soil,Wind,Rainfall,Crop,Season,Irrigation
31.2,47.1,34.2,12.5,2.0,Rice,Summer,0
39.6,75.6,21.2,3.6,2.0,Corn,Spring,0
23.7,64.8,40.9,1.7,0.0,Corn,Autumn,0
35.0,58.8,56.4,5.6,0.5,Corn,Winter,0
31.5,33.7,54.3,1.9,2.0,Corn,Summer,0
27.8,69.0,48.8,9.9,2.0,Corn,Summer,0
37.0,30.7,49.7,14.8,2.0,Corn,Spring,0
22.7,75.5,29.3,0.7,0.5,Corn,Winter,1
35.8,56.6,41.1,0.9,0.5,Corn,Spring,0
25.4,50.5,11.6,1.5,2.0,Soybean,Winter,0
39.6,55.4,17.1,0.6,2.0,Soybean,Spring,0
35.1,73.1,38.9,9.4,0.0,Wheat,Winter,0
36.5,41.2,10.7,11.3,0.5,Corn,Autumn,1
31.1,73.4,38.7,6.4,0.5,Wheat,Autumn,0
25.9,72.6,10.7,13.8,2.0,Soybean,Summer,0
22.8,75.2,43.9,0.6,0.0,Rice,Spring,0
35.2,41.6,30.0,1.4,2.0,Wheat,Autumn,0
29.5,67.9,26.5,2.3,0.0,Rice,Autumn,1
22.7,64.8,47.3,4.9,2.0,Wheat,Spring,0
30.8,71.7,58.8,14.2,0.0,Soybean,Autumn,0
29.5,74.8,54.7,14.6,2.0,Soybean,Summer,0
32.8,59.4,30.3,10.6,0.5,Soybean,Spring,0
22.3,63.2,24.2,13.0,0.5,Rice,Summer,1
36.4,41.4,29.0,4.5,2.0,Soybean,Autumn,0
23.4,50.8,40.1,1.5,0.0,Corn,Winter,0
36.4,32.9,12.2,0.6,0.0,Corn,Summer,1
23.9,46.6,23.2,8.0,2.0,Rice,Summer,0
20.5,58.8,45.2,12.2,0.5,Wheat,Autumn,0
26.2,69.4,30.1,1.0,2.0,Rice,Winter,0
36.8,75.2,50.0,12.1,0.0,Rice,Autumn,0
32.0,65.5,39.8,11.4,0.0,Wheat,Spring,0
26.6,56.0,26.9,12.2,0.0,Rice,Summer,1
23.6,44.8,29.6,12.2,0.5,Soybean,Autumn,1
30.6,51.1,43.6,12.4,0.0,Rice,Summer,0
21.1,72.1,52.3,12.5,0.5,Soybean,Summer,0
39.1,36.2,15.8,8.3,0.5,Soybean,Autumn,1
26.5,37.3,24.9,11.5,0.0,Wheat,Summer,1
38.3,73.6,18.4,9.6,0.0,Wheat,Winter,1
30.7,67.5,14.6,1.2,0.0,Rice,Summer,1
21.7,66.6,42.7,5.8,0.0,Soybean,Spring,0
30.7,52.5,58.3,8.1,2.0,Wheat,Autumn,0
21.5,66.4,10.3,6.2,0.5,Wheat,Spring,1
24.3,63.2,28.8,10.9,0.0,Corn,Summer,1
30.2,47.0,36.0,3.3,2.0,Wheat,Spring,0
29.8,76.5,24.3,13.7,0.0,Soybean,Spring,1
21.9,36.4,26.9,7.8,0.5,Soybean,Autumn,1
20.5,49.5,27.0,11.6,2.0,Wheat,Summer,0
21.8,63.2,44.7,10.9,0.0,Rice,Winter,0
26.4,79.4,45.5,6.7,0.0,Rice,Spring,0
27.8,76.6,19.1,11.5,2.0,Corn,Summer,0
32.6,66.8,28.0,9.5,2.0,Corn,Spring,0
37.6,57.5,47.6,12.8,2.0,Soybean,Summer,0
37.7,37.1,27.0,4.6,2.0,Corn,Summer,0
29.6,75.5,20.2,3.0,0.0,Rice,Spring,1
33.0,48.3,25.5,13.0,0.0,Corn,Spring,1
21.9,59.4,44.2,3.0,0.5,Rice,Autumn,0
25.2,51.2,42.7,0.5,2.0,Corn,Spring,0
25.1,41.0,20.3,0.8,0.0,Soybean,Spring,1
34.4,78.8,37.3,11.6,0.5,Soybean,Spring,0
23.7,41.1,34.9,2.4,2.0,Rice,Summer,0
22.6,45.0,25.7,7.4,2.0,Soybean,Summer,0
26.5,32.2,48.1,9.1,0.5,Rice,Spring,0
24.6,39.9,17.5,7.1,0.5,Rice,Autumn,1
25.7,45.9,10.7,7.8,2.0,Rice,Summer,0
34.9,68.0,34.0,3.9,0.0,Rice,Spring,0
33.2,58.6,46.2,6.6,0.0,Wheat,Winter,0
37.4,51.8,37.2,9.1,2.0,Soybean,Winter,0
21.9,76.1,57.6,1.4,0.0,Corn,Summer,0
36.9,77.8,58.0,11.1,0.5,Soybean,Autumn,0
29.0,73.4,44.3,4.8,0.0,Corn,Spring,0
23.2,55.2,54.4,3.8,0.5,Wheat,Spring,0
37.3,68.6,20.1,0.1,0.0,Rice,Autumn,1
20.0,71.0,48.9,11.5,2.0,Rice,Autumn,0
20.3,37.4,42.6,13.4,0.5,Rice,Summer,0
37.0,68.3,25.6,6.2,0.5,Wheat,Summer,1
23.3,60.0,14.2,8.3,2.0,Corn,Summer,0
23.2,65.9,30.7,12.0,0.0,Corn,Winter,0
39.7,51.3,26.2,13.3,0.5,Corn,Winter,1
31.2,66.8,13.5,5.3,0.0,Rice,Spring,1
37.2,39.1,59.8,13.1,2.0,Rice,Winter,0
25.1,57.7,59.7,12.3,0.5,Rice,Winter,0
37.9,74.5,30.7,7.6,0.5,Rice,Winter,0
27.4,70.3,43.3,13.2,2.0,Wheat,Autumn,0
21.4,53.6,19.2,9.4,2.0,Wheat,Summer,0
26.3,33.9,51.0,0.8,2.0,Wheat,Winter,0
22.4,42.5,15.4,10.0,0.5,Wheat,Winter,1
29.2,65.7,47.7,13.7,0.5,Soybean,Spring,0
30.1,47.7,17.6,7.5,2.0,Soybean,Summer,0
24.4,79.4,46.9,7.1,2.0,Wheat,Summer,0
33.6,66.2,24.0,7.8,2.0,Rice,Winter,0
38.0,74.8,50.1,12.5,0.5,Corn,Summer,0
22.3,31.7,44.7,12.0,0.0,Corn,Spring,0
24.0,53.0,22.0,7.1,0.0,Wheat,Summer,1
33.3,67.7,25.4,4.6,2.0,Rice,Spring,0
22.6,44.5,18.3,6.8,0.0,Corn,Summer,1
28.2,30.8,12.7,5.6,0.5,Wheat,Autumn,1
35.6,69.3,11.4,9.4,0.0,Soybean,Winter,1
38.5,49.8,48.2,7.4,0.0,Soybean,Summer,0
36.5,39.5,50.7,6.4,0.5,Corn,Spring,0
21.5,78.9,44.9,2.5,2.0,Rice,Winter,0
37.2,52.3,31.0,10.6,2.0,Rice,Autumn,0
35.9,50.2,25.4,2.6,2.0,Wheat,Winter,0
27.4,58.4,28.7,11.2,0.5,Soybean,Autumn,1
25.0,67.2,47.9,4.4,0.0,Wheat,Summer,0
24.6,75.2,30.0,2.4,2.0,Soybean,Spring,0
26.3,66.7,54.6,9.3,0.5,Soybean,Autumn,0
35.1,73.9,14.1,8.6,0.5,Rice,Winter,1
24.5,77.1,15.6,10.4,0.0,Wheat,Winter,1
39.7,68.2,55.9,7.7,0.5,Soybean,Summer,0
31.1,68.4,32.0,0.4,2.0,Wheat,Spring,0
35.3,77.7,42.5,8.0,0.0,Wheat,Spring,0
23.7,50.6,53.5,9.9,0.0,Rice,Winter,0
35.1,40.9,54.7,4.1,2.0,Corn,Spring,0
33.9,76.9,57.5,6.7,0.0,Wheat,Spring,0
30.1,58.5,44.0,12.8,0.5,Wheat,Summer,0
21.7,48.8,50.8,4.0,0.0,Corn,Winter,0
21.2,79.2,56.7,0.5,0.0,Rice,Winter,0
23.4,65.8,14.9,11.2,2.0,Rice,Summer,0
24.5,73.6,51.7,5.5,0.5,Corn,Autumn,0
39.3,69.8,40.6,8.3,0.5,Rice,Autumn,0
33.7,44.9,36.6,11.0,0.5,Wheat,Winter,0
35.1,37.1,39.2,0.4,2.0,Wheat,Autumn,0
33.1,57.4,49.6,9.1,2.0,Corn,Summer,0
39.0,38.2,37.0,12.5,2.0,Soybean,Autumn,0
38.1,63.5,44.3,14.6,0.5,Wheat,Spring,0
28.9,78.2,18.2,12.4,2.0,Corn,Autumn,0
34.6,32.4,58.1,12.5,0.5,Wheat,Winter,0
32.6,32.3,27.6,0.3,0.5,Rice,Autumn,1
28.3,68.1,59.6,0.1,0.5,Wheat,Autumn,0
23.2,33.2,25.0,5.2,0.0,Wheat,Spring,1
27.9,55.2,15.0,10.0,0.0,Rice,Summer,1
23.7,51.8,37.0,10.8,0.5,Corn,Winter,0
33.6,58.4,18.3,11.5,0.5,Corn,Autumn,1
37.4,71.7,10.3,6.6,0.0,Soybean,Summer,1
25.5,77.9,29.8,11.3,0.5,Corn,Winter,1
24.2,61.4,55.7,9.3,0.5,Wheat,Autumn,0
30.3,51.0,20.1,13.9,0.5,Wheat,Autumn,1
23.4,62.4,18.7,10.5,2.0,Soybean,Summer,0
24.0,59.0,54.5,2.3,0.0,Soybean,Autumn,0
26.0,71.7,42.5,13.8,2.0,Rice,Winter,0
36.5,79.0,50.3,8.5,0.5,Rice,Autumn,0
37.9,32.1,57.9,7.0,2.0,Rice,Winter,0
35.2,30.3,26.0,12.3,0.0,Corn,Autumn,1
36.2,50.4,46.0,3.9,0.5,Corn,Winter,0
21.2,73.7,10.3,1.4,0.5,Corn,Autumn,1
26.1,32.2,34.1,3.6,0.0,Wheat,Spring,0
36.2,31.1,13.6,7.0,0.5,Soybean,Summer,1
28.6,40.9,46.4,2.6,2.0,Corn,Winter,0
29.5,34.0,33.5,9.8,0.0,Wheat,Spring,0
38.2,34.9,43.2,1.9,0.0,Soybean,Spring,0
35.6,42.9,23.6,8.9,0.0,Rice,Spring,1
20.2,34.2,18.0,6.6,0.0,Wheat,Winter,1
34.6,30.2,12.1,0.1,0.5,Corn,Winter,1
30.8,50.7,54.5,11.9,2.0,Wheat,Winter,0
33.5,44.3,16.0,4.1,2.0,Wheat,Winter,0
32.0,68.8,55.0,12.8,0.5,Rice,Winter,0
36.4,31.5,50.2,9.4,0.5,Corn,Autumn,0
29.1,51.5,16.4,14.3,0.5,Corn,Winter,1
27.8,68.8,50.5,3.9,0.0,Wheat,Spring,0
27.1,47.7,20.3,10.4,2.0,Corn,Spring,0
20.9,39.4,40.0,1.5,2.0,Rice,Winter,0
21.3,65.1,49.4,3.7,0.0,Rice,Spring,0
39.4,37.9,45.0,3.5,2.0,Wheat,Summer,0
38.6,46.2,26.2,9.5,0.5,Corn,Winter,1
38.5,77.5,27.6,4.8,2.0,Corn,Winter,0
37.9,46.3,41.1,0.3,0.0,Soybean,Autumn,0
33.7,71.0,38.7,8.0,0.5,Rice,Spring,0
22.4,69.9,25.5,2.0,0.0,Corn,Spring,1
36.1,38.6,50.1,10.3,0.5,Corn,Spring,0
21.7,49.0,45.7,14.6,0.0,Soybean,Autumn,0
36.0,39.3,19.2,12.4,0.0,Wheat,Winter,1
24.8,35.1,10.8,5.3,2.0,Wheat,Summer,0
27.7,48.4,31.6,3.5,2.0,Corn,Autumn,0
28.5,33.7,51.1,7.1,0.0,Wheat,Winter,0
22.0,50.3,40.1,3.6,2.0,Wheat,Autumn,0
32.3,70.0,57.4,2.0,0.5,Rice,Autumn,0
32.4,33.1,26.4,4.5,0.0,Soybean,Summer,1
33.5,56.8,51.9,0.9,2.0,Wheat,Spring,0
20.5,57.9,18.8,4.1,2.0,Rice,Winter,0
38.9,61.6,35.3,4.7,0.0,Rice,Spring,0
32.7,55.1,58.0,13.4,0.0,Corn,Summer,0
25.7,67.2,12.1,12.3,2.0,Corn,Winter,0
31.0,32.3,27.6,6.6,0.0,Soybean,Summer,1
39.9,54.1,26.5,2.5,2.0,Corn,Autumn,0
28.1,37.9,32.7,0.9,0.0,Wheat,Autumn,0
25.4,61.7,59.8,5.6,0.0,Wheat,Summer,0
32.2,71.1,45.6,3.3,0.0,Corn,Spring,0
31.6,50.5,20.5,8.9,0.0,Corn,Autumn,1
31.5,59.3,29.1,11.2,2.0,Wheat,Summer,0
21.6,30.3,32.3,9.4,0.5,Soybean,Spring,0
30.2,30.7,45.6,14.4,0.0,Wheat,Spring,0
30.2,46.5,11.6,10.3,0.0,Wheat,Spring,1
34.2,33.9,50.1,10.8,0.0,Corn,Winter,0
29.9,75.6,14.6,2.3,2.0,Wheat,Spring,0
37.4,53.1,43.9,0.6,2.0,Corn,Spring,0
37.4,75.8,29.0,13.2,2.0,Corn,Winter,0
26.2,63.6,46.5,5.4,0.5,Soybean,Autumn,0
20.2,58.5,39.3,13.0,0.5,Corn,Winter,0
37.7,53.4,39.2,9.3,2.0,Corn,Autumn,0
26.2,30.0,52.1,0.5,0.5,Wheat,Spring,0
31.8,72.7,56.1,9.6,0.5,Wheat,Winter,0
39.5,71.2,32.4,6.4,2.0,Corn,Summer,0
34.4,32.3,50.5,4.4,0.5,Rice,Summer,0
35.5,32.7,56.0,2.1,2.0,Soybean,Spring,0
38.8,63.5,37.7,2.3,0.0,Soybean,Summer,0
37.4,39.6,13.8,1.9,0.0,Corn,Winter,1
21.2,46.0,28.4,6.9,2.0,Rice,Autumn,0
21.1,69.3,49.6,7.0,0.0,Corn,Autumn,0
31.7,41.3,36.4,7.3,2.0,Rice,Summer,0
27.7,46.5,57.1,3.7,2.0,Wheat,Autumn,0
22.8,48.5,23.2,0.1,0.0,Corn,Autumn,1
39.9,35.3,54.2,8.7,2.0,Corn,Winter,0
28.6,69.4,14.7,13.6,0.0,Wheat,Summer,1
23.8,47.0,11.3,2.1,0.5,Corn,Autumn,1
24.4,44.4,49.1,1.7,0.5,Corn,Summer,0
30.3,69.2,29.0,4.5,2.0,Soybean,Winter,0
32.2,38.8,33.8,12.4,0.5,Rice,Autumn,0
30.3,43.2,39.6,11.5,0.5,Rice,Winter,0
32.9,61.7,32.2,10.0,0.5,Rice,Winter,0
30.3,68.9,30.7,10.0,2.0,Rice,Winter,0
28.8,52.0,10.5,11.8,0.0,Corn,Spring,1
26.7,78.3,55.1,1.6,0.0,Soybean,Autumn,0
34.2,63.7,14.1,10.8,0.5,Soybean,Autumn,1
32.5,31.6,38.0,5.9,0.0,Corn,Winter,0
21.2,59.0,56.0,12.4,2.0,Soybean,Autumn,0
28.3,54.5,49.4,0.5,0.5,Soybean,Summer,0
39.2,36.6,54.6,10.8,0.5,Rice,Autumn,0
37.5,33.7,15.6,2.1,0.0,Rice,Winter,1
28.8,60.9,48.3,1.8,2.0,Soybean,Summer,0
21.0,78.5,26.1,6.9,2.0,Wheat,Winter,0
35.4,41.4,28.0,11.5,2.0,Corn,Autumn,0
26.2,52.0,39.7,12.9,2.0,Rice,Summer,0
27.9,34.1,45.6,4.7,0.0,Corn,Spring,0
37.7,40.0,15.7,9.5,0.0,Rice,Winter,1
29.8,36.7,21.9,7.6,0.0,Soybean,Autumn,1
32.3,36.2,48.1,4.9,0.5,Soybean,Winter,0
31.6,58.4,21.0,4.9,2.0,Wheat,Autumn,0
20.8,40.3,23.8,9.7,0.5,Wheat,Spring,1
39.3,35.8,27.3,3.5,0.5,Rice,Autumn,1
22.0,57.1,15.2,3.7,0.5,Wheat,Autumn,1
23.2,48.6,26.9,4.6,0.0,Wheat,Summer,1
36.2,59.0,47.1,4.3,0.5,Corn,Autumn,0
20.7,68.1,10.6,1.6,0.0,Rice,Winter,1
22.8,32.7,56.8,4.8,0.5,Wheat,Autumn,0
36.7,36.8,30.8,6.0,0.0,Wheat,Autumn,0
36.5,54.7,34.5,3.1,0.0,Soybean,Spring,0
29.1,67.9,41.5,8.7,0.5,Rice,Autumn,0
31.5,52.2,45.9,14.2,2.0,Soybean,Summer,0
29.4,34.5,14.0,7.1,0.5,Corn,Summer,1
23.1,77.4,19.5,3.9,2.0,Corn,Summer,0
39.9,40.9,27.1,9.7,0.0,Wheat,Spring,1
29.7,78.7,47.3,9.2,2.0,Soybean,Summer,0
25.7,55.3,56.8,1.3,0.0,Soybean,Summer,0
32.5,64.1,44.8,10.9,0.0,Soybean,Summer,0
37.8,59.1,42.1,3.2,0.0,Soybean,Autumn,0
34.6,39.0,35.7,11.6,0.5,Rice,Autumn,0
38.6,67.8,33.1,9.9,0.5,Rice,Spring,0
36.0,30.3,26.3,13.8,0.0,Soybean,Spring,1
36.0,44.3,16.7,9.4,0.0,Corn,Spring,1
38.9,70.2,41.8,7.1,0.0,Soybean,Spring,0
37.0,56.4,54.5,3.6,0.5,Wheat,Winter,0
31.1,55.4,59.8,6.4,2.0,Rice,Autumn,0
31.8,73.0,27.8,0.3,2.0,Wheat,Winter,0
38.1,72.1,52.9,14.7,0.5,Wheat,Spring,0
24.5,63.8,56.8,2.9,0.5,Rice,Winter,0
39.6,78.0,20.7,0.9,0.5,Wheat,Winter,1
24.9,64.9,47.5,10.5,0.5,Corn,Spring,0
39.6,55.3,24.6,5.8,0.0,Rice,Autumn,1
25.1,36.4,35.7,6.7,2.0,Rice,Winter,0
35.6,68.0,25.7,4.9,0.0,Wheat,Winter,1
39.5,47.6,37.5,7.9,2.0,Soybean,Spring,0
36.1,36.2,18.3,2.3,0.5,Wheat,Winter,1
35.1,75.6,41.3,2.6,0.5,Corn,Spring,0
25.1,64.3,56.1,6.2,2.0,Corn,Autumn,0
23.6,60.8,15.0,1.8,2.0,Soybean,Autumn,0
26.4,39.2,19.5,7.2,0.5,Corn,Spring,1
28.5,32.6,24.0,5.2,0.0,Soybean,Autumn,1
36.0,32.5,52.8,4.2,0.5,Rice,Summer,0
21.9,42.3,35.3,0.7,2.0,Corn,Autumn,0
37.3,36.1,59.5,2.7,2.0,Corn,Spring,0
35.9,65.7,51.1,11.1,2.0,Soybean,Summer,0
34.1,43.7,55.9,7.3,2.0,Rice,Summer,0
33.2,55.2,18.5,0.1,0.5,Soybean,Autumn,1
36.9,61.1,12.1,14.8,2.0,Wheat,Autumn,0
20.8,36.4,54.4,1.3,0.5,Wheat,Summer,0
20.1,50.9,56.3,10.1,2.0,Rice,Autumn,0
27.1,75.7,32.0,10.5,2.0,Corn,Spring,0
38.9,32.9,25.7,14.4,0.0,Corn,Summer,1
28.1,43.3,18.7,3.4,0.5,Wheat,Spring,1
31.9,50.7,10.3,8.8,0.5,Soybean,Autumn,1
35.4,67.6,45.5,1.1,0.0,Wheat,Spring,0
37.0,76.9,17.7,10.7,0.0,Rice,Spring,1
21.7,67.5,51.5,12.0,0.5,Soybean,Summer,0
36.3,43.6,38.5,5.4,0.5,Rice,Summer,0
28.0,46.6,35.0,8.1,0.0,Wheat,Spring,0
27.1,76.1,51.8,0.6,0.0,Wheat,Spring,0
34.3,41.2,25.6,11.3,0.0,Rice,Spring,1
25.4,68.8,12.7,0.7,0.0,Wheat,Summer,1
37.0,54.6,58.9,11.7,2.0,Rice,Spring,0
34.5,40.6,31.7,5.8,0.5,Rice,Autumn,0
35.8,43.5,30.6,9.3,2.0,Corn,Spring,0
34.6,77.7,52.1,8.5,0.5,Soybean,Autumn,0
26.0,34.8,42.1,5.8,2.0,Corn,Winter,0
20.7,64.3,49.6,1.6,2.0,Wheat,Spring,0
23.1,65.3,13.0,0.5,0.5,Rice,Spring,1
29.3,44.9,36.9,2.4,2.0,Corn,Spring,0
36.7,31.1,37.0,4.9,0.0,Soybean,Summer,0
31.5,57.7,21.7,2.1,2.0,Wheat,Spring,0
23.0,76.1,10.6,11.4,0.5,Soybean,Spring,1
38.9,43.7,39.8,5.8,0.0,Soybean,Winter,0
22.2,52.8,42.0,13.9,0.5,Corn,Autumn,0
30.9,33.2,26.5,9.1,0.5,Corn,Spring,1
31.5,41.9,49.6,0.5,0.0,Rice,Spring,0
28.1,67.2,16.4,2.8,2.0,Corn,Summer,0
34.3,42.6,35.1,10.1,0.0,Wheat,Spring,0
28.5,53.4,21.1,13.8,0.0,Rice,Spring,1
31.9,39.6,30.9,9.2,0.5,Wheat,Summer,0
26.1,74.6,58.5,5.2,0.5,Soybean,Spring,0
29.8,72.6,50.2,1.1,2.0,Wheat,Winter,0
33.3,50.6,59.8,11.8,0.5,Rice,Summer,0
39.5,43.4,51.6,14.3,2.0,Corn,Autumn,0
22.5,51.1,19.2,4.4,0.0,Soybean,Winter,1
30.1,37.6,21.1,14.5,2.0,Rice,Spring,0
31.1,38.5,12.9,11.2,0.0,Wheat,Autumn,1
29.5,76.0,49.1,9.6,0.0,Soybean,Autumn,0
30.7,61.5,20.7,0.9,2.0,Soybean,Summer,0
28.3,78.2,17.2,13.2,0.0,Wheat,Summer,1
39.3,64.2,42.4,0.6,0.0,Wheat,Winter,0
23.2,42.3,58.9,4.9,2.0,Rice,Spring,0
25.7,58.0,53.4,1.4,2.0,Soybean,Summer,0
26.4,56.9,48.2,9.3,0.5,Wheat,Summer,0
20.9,79.9,43.8,6.9,2.0,Corn,Summer,0
33.4,57.5,29.9,14.2,0.0,Wheat,Winter,1
25.5,47.5,31.3,12.9,2.0,Corn,Summer,0
21.5,62.7,14.0,9.1,0.0,Wheat,Summer,1
38.8,59.3,15.9,5.9,0.5,Corn,Autumn,1
30.9,71.6,39.2,1.5,0.5,Wheat,Summer,0
34.0,61.3,50.3,4.9,2.0,Rice,Autumn,0
30.0,78.8,32.3,9.9,0.5,Rice,Summer,0
21.3,33.5,40.5,10.0,2.0,Rice,Spring,0
23.0,33.6,13.1,13.5,2.0,Wheat,Summer,0
33.7,49.6,18.9,11.6,0.0,Wheat,Winter,1
30.6,56.7,48.6,8.5,0.5,Wheat,Spring,0
38.2,78.7,18.9,12.0,0.5,Wheat,Summer,1
35.4,70.9,55.4,8.5,0.5,Corn,Autumn,0
32.4,68.2,37.8,11.0,0.0,Rice,Summer,0
31.5,44.2,34.8,9.7,0.0,Wheat,Autumn,0
20.8,33.1,31.6,0.7,0.0,Rice,Summer,0
31.6,51.1,55.8,3.4,0.5,Soybean,Spring,0
28.9,33.5,47.7,4.2,0.5,Wheat,Summer,0
30.4,72.6,27.2,6.4,0.5,Wheat,Spring,1
30.5,54.1,20.8,2.7,2.0,Wheat,Winter,0
31.5,47.0,17.4,14.8,2.0,Corn,Spring,0
23.6,51.8,49.8,11.1,0.5,Soybean,Spring,0
33.0,36.9,16.3,1.7,0.0,Corn,Spring,1
28.8,60.2,40.1,9.7,0.0,Corn,Spring,0
39.1,54.0,33.4,6.0,0.0,Rice,Spring,0
36.7,31.2,18.3,14.4,0.0,Wheat,Spring,1
27.0,54.1,20.1,5.8,0.5,Rice,Winter,1
20.3,73.9,36.4,9.0,0.5,Rice,Autumn,0
39.6,56.7,18.9,9.1,0.0,Soybean,Winter,1
39.3,71.6,47.7,13.2,2.0,Rice,Spring,0
29.7,42.9,38.9,1.4,2.0,Rice,Autumn,0
21.5,71.8,43.3,6.7,0.0,Corn,Summer,0
38.2,74.6,35.3,14.5,2.0,Rice,Spring,0
27.6,51.4,55.6,12.2,0.5,Corn,Spring,0
25.2,34.0,56.4,5.9,0.5,Corn,Spring,0
31.9,52.5,27.2,5.5,0.0,Corn,Winter,1
36.3,46.1,44.6,11.0,0.0,Soybean,Winter,0
39.8,74.9,44.4,3.6,2.0,Wheat,Summer,0
26.2,34.3,51.1,5.6,0.5,Soybean,Autumn,0
36.8,38.3,26.0,15.0,0.5,Soybean,Winter,1
30.7,58.5,26.2,3.9,0.5,Soybean,Spring,1
25.9,38.7,55.9,5.8,2.0,Wheat,Summer,0
37.6,41.8,50.3,5.3,2.0,Wheat,Spring,0
